Site,Lat,Long,Degree,Elevation,Slope
TT,-37.022779,147.05727,45,1574,10.76130005
MSp,-37.12546,146.642135,315,1641,8.538814562
BF,-37.240692,146.483213,0,1662,9.73247708
MHW,-37.175529,146.641248,315,1701,15.69513405
KB,-37.21115,146.604957,315,1706,7.163120661
MSt,-37.128857,146.499286,45,1725,13.37405208
MM,-37.18916,146.621012,45,1729,10.22707799
MH,-37.174217,146.648005,90,1742,9.396344879
MBu,-37.143243,146.421463,315,1761,15.56655159
F,-36.890761,147.140457,0,1793,15.69513405
LSK,-36.826021,147.281772,45,1797,12.88055929
MF,-36.82902,147.320789,315,1811,5.710593137
H,-36.974387,147.130934,45,1867,5.710593137
MBo,-36.73805,147.288914,45,1982,5.710593137